Unnamed: 0,Unternehmensname Latin alphabet,Inactive,Quoted,Branch,OwnData,Woco,ISO Ländercode,NACE Rev. 2 Core Code (4 Ziffern),Konsolidierungscode,Letztes verf. Jahr,Betriebsertrag (Umsatz) tsd EUR Letztes verf. Jahr,Anzahl der Mitarbeiter Letztes verf. Jahr,EBITDA tsd EUR Letztes verf. Jahr,AI_FDE_Match,Screening_Reasoning
1.0,KOMPLEX IT A/S,Nein,Nein,Nein,Nein,Nein,DK,6202,U1,2025,92609.7292428427,41,4675.111491162,False,"Komplex IT A/S is primarily focused on enterprise IT infrastructure, managed hosting, virtualization, and cloud storage solutions rather than custom software engineering. While they fall under NACE 6202, their core competency lies in hardware integration, backup systems, and traditional IT operations. They lack the custom software development, data engineering, and AI/ML capabilities required to design or deploy custom RAG pipelines and multi-agent workflows. Consequently, they do not align with our AI Forward Deployed Engineering thesis and are excluded."
2.0,MICROSOFT DEVELOPMENT CENTER COPENHAGEN APS,Nein,Nein,Nein,Nein,Nein,DK,6201,U1,2025,91909.8197652416,316,10859.3341556135,False,"Microsoft Development Center Copenhagen APS is a wholly-owned, captive R&D hub of Microsoft Corporation. The facility is primarily focused on developing core enterprise software, such as Dynamics 365 Business Central. As a proprietary subsidiary of a global tech giant, it is not an independent, investable target for a Private Equity firm. While the engineering talent is world-class, the company does not operate as a third-party Forward Deployed Engineering provider."
3.0,ISO PUBLIC SERVICES GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2024,99940.80498,164,5072.51976,True,"ISO Public Services GmbH, a member of the ISO-Gruppe, is a highly capable custom software development and IT consulting firm focusing on the German public sector. Operating under NACE 6201, the company possesses the deep engineering talent required to build complex enterprise architectures and modern digital platforms. Given the public sector's growing demand for secure, sovereign AI pipelines and specialized RAG implementations, ISO Public Services represents a high-potential candidate capable of scaling forward-deployed AI engineering services."
4.0,SHOWPAD,Nein,Nein,Nein,Nein,Nein,BE,6201,C2,2024,99091.0,376,13629.0,False,"Showpad is a product-led B2B SaaS platform specializing in sales enablement and content management, rather than a custom software development or IT consulting firm. While they integrate AI capabilities within their proprietary platform, they do not provide forward-deployed engineering services, custom AI pipeline design, or bespoke RAG deployments for external enterprise clients. Consequently, they do not fit the service-oriented profile required by the AI Forward Deployed Engineering thesis."
5.0,DALUX APS,Nein,Nein,Nein,Nein,Nein,DK,6201,C2,2025,86836.2063177823,528,13268.2752052036,False,"DALUX ApS is a product-led SaaS company specializing in Building Information Modeling (BIM) and digital collaboration software for the construction and real estate industries. It operates as a standardized vertical software provider rather than an IT services, custom software development, or systems integration consultancy. Because they do not design, deploy, or maintain custom AI pipelines or RAG systems for third-party enterprises, they do not align with the Forward Deployed Engineering (FDE) thesis."
6.0,LINK MOBILITY GMBH,Nein,Nein,Nein,Nein,Nein,DE,6209,U1,2024,97570.00335,28,3355.03827,False,"Link Mobility GmbH is a leading European provider of Communications Platform as a Service (CPaaS) and mobile messaging solutions. Their core offerings center around scalable communication APIs, SMS gateways, and conversational engagement tools rather than custom IT consulting or bespoke AI systems integration. As a product-led platform, they lack the service-oriented, forward-deployed engineering model required to design, deploy, and maintain custom enterprise AI pipelines and RAG systems. Therefore, they do not meet the criteria for our AI Forward Deployed Engineering investment thesis."
7.0,MUTUAL IT,Nein,Nein,Nein,Nein,Nein,BE,6201,U1,2024,97047.522,377,2228.148,True,"MUTUAL IT is a Belgian IT consulting and custom software development firm (NACE 6201) specializing in digital transformation, cloud architecture, and bespoke software engineering. The company possesses the advanced technical talent and enterprise delivery experience necessary to scale custom AI pipelines and RAG systems, qualifying them as a High Potential target. They do not fall under any exclusion criteria such as basic staffing or simple web design."
8.0,BENTELER BUSINESS SERVICES GMBH,Nein,Nein,Nein,Nein,Nein,DE,6209,U2,2024,97005.12957,284,10143.41068,False,"BENTELER Business Services GmbH operates primarily as the captive internal IT and shared services subsidiary for the BENTELER Group, a major German automotive and industrial conglomerate. Its core focus is supporting the parent company's internal IT infrastructure, ERP systems, and digital operations rather than offering market-facing IT consulting. Because it is not an independent, commercial B2B software engineering firm scaling AI solutions for external clients, it does not fit our investment thesis."
9.0,CONCENTRIX GLOBAL SERVICES GMBH,Nein,Nein,Nein,Nein,Nein,DE,6209,U1,2024,96825.1483,1822,6769.90831,False,"Concentrix Global Services GmbH is the German subsidiary of Concentrix, a massive global provider of Customer Experience (CX) solutions and Business Process Outsourcing (BPO) services. While they integrate conversational AI and automation into their customer service offerings, their core business model centers on contact center operations and customer lifecycle management rather than specialized custom software development. Because they function primarily as a global BPO giant rather than a dedicated, high-end custom AI engineering or cloud architecture consultancy, they do not fit the AI Forward Deployed Engineering thesis."
10.0,CREALOGIX HOLDING AG,Nein,Nein,Nein,Nein,Nein,CH,6209,C1,2023,92100.6737899696,383,9087.09489109233,False,"CREALOGIX is a long-standing provider of standardized digital banking software products and SaaS solutions rather than an AI-focused engineering services firm. While they incorporate AI features into their proprietary fintech product suite, their business model is product-centric rather than a forward-deployed engineering consultancy focused on custom AI infrastructure. Consequently, they do not align with the FDE thesis of providing bespoke AI pipeline and multi-agent workflow architecture for enterprise clients."
11.0,SEIBERT GROUP GMBH,Nein,Nein,Nein,Nein,Nein,DE,6201,U1,2023,90467.19579,299,7524.09315,True,"SEIBERT GROUP (operating largely as Seibert Media) is a leading German custom software developer, Google Cloud Premier Partner, and Atlassian Platinum Partner. They possess deep engineering expertise in cloud architecture, enterprise collaboration, and custom software development, and have increasingly integrated LLM-based features and RAG search capabilities into enterprise workspaces. They represent a High Potential target due to their strong software engineering talent pool and cloud consultancy background, making them highly capable of scaling custom AI pipeline deployments."
12.0,BTC IT SERVICES GMBH,Nein,Nein,Nein,Nein,Nein,DE,6209,U1,2024,95669.25829,538,9268.2322,True,"BTC IT Services GmbH (part of the BTC Group) is a highly capable German IT consulting and systems integration firm with deep expertise in cloud architectures, data analytics, and enterprise software. They serve complex, highly-regulated industries like utilities and the public sector, demonstrating the strong engineering talent required to deploy custom enterprise AI pipelines and RAG systems. They represent a strong 'High Potential' fit for the AI Forward Deployed Engineering thesis and do not meet any exclusion criteria."
13.0,HH PRINT MANAGEMENT DEUTSCHLAND GMBH,Nein,Nein,Nein,Nein,Nein,DE,6209,U1,2023,91916.79742,121,4470.39323,False,"Despite its NACE classification (6209), HH Print Management Deutschland GmbH (part of HH Global) focuses on print management, marketing execution, and outsourced creative production services. The company lacks the custom software engineering, cloud architecture, and AI pipeline capabilities required by the FDE thesis. It falls under the exclusion criteria as a traditional marketing and print operations provider rather than an advanced IT or AI engineering firm."
14.0,INTERSYSTEMS B.V.,Nein,Nein,Nein,Nein,Nein,NL,6201,C1,2023,89223.287,293,1134.679,False,"InterSystems B.V. is the Netherlands-based subsidiary of InterSystems Corporation, a global enterprise software giant known for proprietary database management systems (InterSystems IRIS, Caché) and healthcare IT platforms. Because their business model is built around proprietary product licensing and enterprise software solutions rather than custom IT consulting, systems integration, or bespoke software engineering services, they do not fit the target profile for an AI Forward Deployed Engineering (FDE) services investment. Consequently, they are excluded from this thesis."
15.0,CAS-VOS,Nein,Nein,Nein,Nein,Nein,BE,4222,U1,2024,91981.476,343,3800.756,False,"CAS-VOS is a Belgian company operating under NACE Code 4222, which focuses on the construction of utility projects for electricity and telecommunications. The firm's core business revolves around physical network infrastructure, cabling, and utility installations rather than software engineering. Because it lacks any custom software development, cloud architecture, or AI engineering capabilities, it does not align with our AI Forward Deployed Engineering thesis."
16.0,METRIXLAB HOLDING B.V.,Nein,Nein,Nein,Nein,Nein,NL,6201,C1,2022,92972.0,929,11238.0,False,"METRIXLAB HOLDING B.V. is a global provider of market research, consumer insights, and marketing analytics rather than a custom software development or cloud IT consultancy. Despite its NACE 6201 registration, its core business operates as an insights agency, which falls outside the scope of custom enterprise software development and lacks the engineering focus required for the AI Forward Deployed Engineering thesis."
